A ,K ,Q ,J ,T   ,RF
K ,Q ,J ,T ,9,SF
Q ,J ,T ,9,8,SF
J ,T ,9,8,7,SF
T ,9,8,7,6,SF
9,8,7,6,5,SF
8,7,6,5,4,SF
7,6,5,4,3,SF
6,5,4,3,2,SF
5,4,3,2,A   ,SF
A ,A ,A ,A ,K   ,4K
A ,A ,A ,A ,Q   ,4K
A ,A ,A ,A ,J   ,4K
A ,A ,A ,A ,T   ,4K
A ,A ,A ,A ,9,4K
A ,A ,A ,A ,8,4K
A ,A ,A ,A ,7,4K
A ,A ,A ,A ,6,4K
A ,A ,A ,A ,5,4K
A ,A ,A ,A ,4,4K
A ,A ,A ,A ,3,4K
A ,A ,A ,A ,2,4K
K ,K ,K ,K ,A   ,4K
K ,K ,K ,K ,Q   ,4K
K ,K ,K ,K ,J   ,4K
K ,K ,K ,K ,T   ,4K
K ,K ,K ,K ,9,4K
K ,K ,K ,K ,8,4K
K ,K ,K ,K ,7,4K
K ,K ,K ,K ,6,4K
K ,K ,K ,K ,5,4K
K ,K ,K ,K ,4,4K
K ,K ,K ,K ,3,4K
K ,K ,K ,K ,2,4K
Q ,Q ,Q ,Q ,A   ,4K
Q ,Q ,Q ,Q ,K   ,4K
Q ,Q ,Q ,Q ,J   ,4K
Q ,Q ,Q ,Q ,T   ,4K
Q ,Q ,Q ,Q ,9,4K
Q ,Q ,Q ,Q ,8,4K
Q ,Q ,Q ,Q ,7,4K
Q ,Q ,Q ,Q ,6,4K
Q ,Q ,Q ,Q ,5,4K
Q ,Q ,Q ,Q ,4,4K
Q ,Q ,Q ,Q ,3,4K
Q ,Q ,Q ,Q ,2,4K
J ,J ,J ,J ,A   ,4K
J ,J ,J ,J ,K   ,4K
J ,J ,J ,J ,Q   ,4K
J ,J ,J ,J ,T   ,4K
J ,J ,J ,J ,9,4K
J ,J ,J ,J ,8,4K
J ,J ,J ,J ,7,4K
J ,J ,J ,J ,6,4K
J ,J ,J ,J ,5,4K
J ,J ,J ,J ,4,4K
J ,J ,J ,J ,3,4K
J ,J ,J ,J ,2,4K
T ,T ,T ,T ,A   ,4K
T ,T ,T ,T ,K   ,4K
T ,T ,T ,T ,Q   ,4K
T ,T ,T ,T ,J   ,4K
T ,T ,T ,T ,9,4K
T ,T ,T ,T ,8,4K
T ,T ,T ,T ,7,4K
T ,T ,T ,T ,6,4K
T ,T ,T ,T ,5,4K
T ,T ,T ,T ,4,4K
T ,T ,T ,T ,3,4K
T ,T ,T ,T ,2,4K
9,9,9,9,A   ,4K
9,9,9,9,K   ,4K
9,9,9,9,Q   ,4K
9,9,9,9,J   ,4K
9,9,9,9,T   ,4K
9,9,9,9,8,4K
9,9,9,9,7,4K
9,9,9,9,6,4K
9,9,9,9,5,4K
9,9,9,9,4,4K
9,9,9,9,3,4K
9,9,9,9,2,4K
8,8,8,8,A   ,4K
8,8,8,8,K   ,4K
8,8,8,8,Q   ,4K
8,8,8,8,J   ,4K
8,8,8,8,T   ,4K
8,8,8,8,9,4K
8,8,8,8,7,4K
8,8,8,8,6,4K
8,8,8,8,5,4K
8,8,8,8,4,4K
8,8,8,8,3,4K
8,8,8,8,2,4K
7,7,7,7,A   ,4K
7,7,7,7,K   ,4K
7,7,7,7,Q   ,4K
7,7,7,7,J   ,4K
7,7,7,7,T   ,4K
7,7,7,7,9,4K
7,7,7,7,8,4K
7,7,7,7,6,4K
7,7,7,7,5,4K
7,7,7,7,4,4K
7,7,7,7,3,4K
7,7,7,7,2,4K
6,6,6,6,A   ,4K
6,6,6,6,K   ,4K
6,6,6,6,Q   ,4K
6,6,6,6,J   ,4K
6,6,6,6,T   ,4K
6,6,6,6,9,4K
6,6,6,6,8,4K
6,6,6,6,7,4K
6,6,6,6,5,4K
6,6,6,6,4,4K
6,6,6,6,3,4K
6,6,6,6,2,4K
5,5,5,5,A   ,4K
5,5,5,5,K   ,4K
5,5,5,5,Q   ,4K
5,5,5,5,J   ,4K
5,5,5,5,T   ,4K
5,5,5,5,9,4K
5,5,5,5,8,4K
5,5,5,5,7,4K
5,5,5,5,6,4K
5,5,5,5,4,4K
5,5,5,5,3,4K
5,5,5,5,2,4K
4,4,4,4,A   ,4K
4,4,4,4,K   ,4K
4,4,4,4,Q   ,4K
4,4,4,4,J   ,4K
4,4,4,4,T   ,4K
4,4,4,4,9,4K
4,4,4,4,8,4K
4,4,4,4,7,4K
4,4,4,4,6,4K
4,4,4,4,5,4K
4,4,4,4,3,4K
4,4,4,4,2,4K
3,3,3,3,A   ,4K
3,3,3,3,K   ,4K
3,3,3,3,Q   ,4K
3,3,3,3,J   ,4K
3,3,3,3,T   ,4K
3,3,3,3,9,4K
3,3,3,3,8,4K
3,3,3,3,7,4K
3,3,3,3,6,4K
3,3,3,3,5,4K
3,3,3,3,4,4K
3,3,3,3,2,4K
2,2,2,2,A   ,4K
2,2,2,2,K   ,4K
2,2,2,2,Q   ,4K
2,2,2,2,J   ,4K
2,2,2,2,T   ,4K
2,2,2,2,9,4K
2,2,2,2,8,4K
2,2,2,2,7,4K
2,2,2,2,6,4K
2,2,2,2,5,4K
2,2,2,2,4,4K
2,2,2,2,3,4K
A ,A ,A ,K ,K   ,FH
A ,A ,A ,Q ,Q   ,FH
A ,A ,A ,J ,J   ,FH
A ,A ,A ,T ,T   ,FH
A ,A ,A ,9,9,FH
A ,A ,A ,8,8,FH
A ,A ,A ,7,7,FH
A ,A ,A ,6,6,FH
A ,A ,A ,5,5,FH
A ,A ,A ,4,4,FH
A ,A ,A ,3,3,FH
A ,A ,A ,2,2,FH
K ,K ,K ,A ,A   ,FH
K ,K ,K ,Q ,Q   ,FH
K ,K ,K ,J ,J   ,FH
K ,K ,K ,T ,T   ,FH
K ,K ,K ,9,9,FH
K ,K ,K ,8,8,FH
K ,K ,K ,7,7,FH
K ,K ,K ,6,6,FH
K ,K ,K ,5,5,FH
K ,K ,K ,4,4,FH
K ,K ,K ,3,3,FH
K ,K ,K ,2,2,FH
Q ,Q ,Q ,A ,A   ,FH
Q ,Q ,Q ,K ,K   ,FH
Q ,Q ,Q ,J ,J   ,FH
Q ,Q ,Q ,T ,T   ,FH
Q ,Q ,Q ,9,9,FH
Q ,Q ,Q ,8,8,FH
Q ,Q ,Q ,7,7,FH
Q ,Q ,Q ,6,6,FH
Q ,Q ,Q ,5,5,FH
Q ,Q ,Q ,4,4,FH
Q ,Q ,Q ,3,3,FH
Q ,Q ,Q ,2,2,FH
J ,J ,J ,A ,A   ,FH
J ,J ,J ,K ,K   ,FH
J ,J ,J ,Q ,Q   ,FH
J ,J ,J ,T ,T   ,FH
J ,J ,J ,9,9,FH
J ,J ,J ,8,8,FH
J ,J ,J ,7,7,FH
J ,J ,J ,6,6,FH
J ,J ,J ,5,5,FH
J ,J ,J ,4,4,FH
J ,J ,J ,3,3,FH
J ,J ,J ,2,2,FH
T ,T ,T ,A ,A   ,FH
T ,T ,T ,K ,K   ,FH
T ,T ,T ,Q ,Q   ,FH
T ,T ,T ,J ,J   ,FH
T ,T ,T ,9,9,FH
T ,T ,T ,8,8,FH
T ,T ,T ,7,7,FH
T ,T ,T ,6,6,FH
T ,T ,T ,5,5,FH
T ,T ,T ,4,4,FH
T ,T ,T ,3,3,FH
T ,T ,T ,2,2,FH
9,9,9,A ,A   ,FH
9,9,9,K ,K   ,FH
9,9,9,Q ,Q   ,FH
9,9,9,J ,J   ,FH
9,9,9,T ,T   ,FH
9,9,9,8,8,FH
9,9,9,7,7,FH
9,9,9,6,6,FH
9,9,9,5,5,FH
9,9,9,4,4,FH
9,9,9,3,3,FH
9,9,9,2,2,FH
8,8,8,A ,A   ,FH
8,8,8,K ,K   ,FH
8,8,8,Q ,Q   ,FH
8,8,8,J ,J   ,FH
8,8,8,T ,T   ,FH
8,8,8,9,9,FH
8,8,8,7,7,FH
8,8,8,6,6,FH
8,8,8,5,5,FH
8,8,8,4,4,FH
8,8,8,3,3,FH
8,8,8,2,2,FH
7,7,7,A ,A   ,FH
7,7,7,K ,K   ,FH
7,7,7,Q ,Q   ,FH
7,7,7,J ,J   ,FH
7,7,7,T ,T   ,FH
7,7,7,9,9,FH
7,7,7,8,8,FH
7,7,7,6,6,FH
7,7,7,5,5,FH
7,7,7,4,4,FH
7,7,7,3,3,FH
7,7,7,2,2,FH
6,6,6,A ,A   ,FH
6,6,6,K ,K   ,FH
6,6,6,Q ,Q   ,FH
6,6,6,J ,J   ,FH
6,6,6,T ,T   ,FH
